filename,exchange,ticker,instrument,resolution,start_date,end_date,n_rows,years
ASX_BHP_1D_20060621_20260324.csv,ASX,BHP,ASX_BHP,1D,2006-06-21,2026-03-24,5000,19.8
ASX_BHP_1H_20230329_20260325.csv,ASX,BHP,ASX_BHP,1H,2023-03-29,2026-03-25,5000,3.0
ASX_BHP_1W_19900701_20260322.csv,ASX,BHP,ASX_BHP,1W,1990-07-01,2026-03-22,1865,35.7
ASX_BHP_4H_20160510_20260325.csv,ASX,BHP,ASX_BHP,4H,2016-05-10,2026-03-25,5000,9.9
ASX_CSL_1D_20060618_20260324.csv,ASX,CSL,ASX_CSL,1D,2006-06-18,2026-03-24,5000,19.8
ASX_CSL_1H_20230124_20260325.csv,ASX,CSL,ASX_CSL,1H,2023-01-24,2026-03-25,5000,3.2
ASX_CSL_1W_19940605_20260322.csv,ASX,CSL,ASX_CSL,1W,1994-06-05,2026-03-22,1660,31.8
ASX_CSL_4H_20160506_20260325.csv,ASX,CSL,ASX_CSL,4H,2016-05-06,2026-03-25,5000,9.9
ASX_RIO_1D_20060619_20260324.csv,ASX,RIO,ASX_RIO,1D,2006-06-19,2026-03-24,5000,19.8
ASX_RIO_1H_20230124_20260325.csv,ASX,RIO,ASX_RIO,1H,2023-01-24,2026-03-25,5000,3.2
ASX_RIO_1W_19900701_20260322.csv,ASX,RIO,ASX_RIO,1W,1990-07-01,2026-03-22,1865,35.7
ASX_RIO_4H_20160510_20260325.csv,ASX,RIO,ASX_RIO,4H,2016-05-10,2026-03-25,5000,9.9
DJ_DJI_1D_20060509_20260324.csv,DJ,DJI,DJ_DJI,1D,2006-05-09,2026-03-24,5000,19.9
DJ_DJI_1H_20230512_20260324.csv,DJ,DJI,DJ_DJI,1H,2023-05-12,2026-03-24,5000,2.9
DJ_DJI_1W_19300526_20260323.csv,DJ,DJI,DJ_DJI,1W,1930-05-26,2026-03-23,5000,95.8
DJ_DJI_4H_20160405_20260324.csv,DJ,DJI,DJ_DJI,4H,2016-04-05,2026-03-24,5000,10.0
EURONEXT_MC_1D_20060908_20260325.csv,EURONEXT,MC,EURONEXT_MC,1D,2006-09-08,2026-03-25,5000,19.5
EURONEXT_MC_1H_20240115_20260325.csv,EURONEXT,MC,EURONEXT_MC,1H,2024-01-15,2026-03-25,5000,2.2
EURONEXT_MC_1W_19940103_20260323.csv,EURONEXT,MC,EURONEXT_MC,1W,1994-01-03,2026-03-23,1682,32.2
EURONEXT_MC_4H_20190913_20260325.csv,EURONEXT,MC,EURONEXT_MC,4H,2019-09-13,2026-03-25,5000,6.5
EURONEXT_SAN_1D_20060908_20260325.csv,EURONEXT,SAN,EURONEXT_SAN,1D,2006-09-08,2026-03-25,5000,19.5
