time,open,high,low,close,volume
2019-09-12 15:00:00,79.69,79.81,79.64,79.75,84084.0
2019-09-13 07:00:00,79.63,79.94,78.85,79.88,620630.0
2019-09-13 11:00:00,79.88,80.02,77.85,79.74,1265567.0
2019-09-13 15:00:00,79.75,79.85,79.58,79.59,125485.0
2019-09-16 07:00:00,78.91,80.19,78.85,79.94,363320.0
2019-09-16 11:00:00,79.95,80.02,79.21,79.32,332178.0
2019-09-16 15:00:00,79.32,79.42,79.08,79.17,57638.0
2019-09-17 07:00:00,79.35,80.32,79.32,79.54,407254.0
2019-09-17 11:00:00,79.53,80.23,79.17,80.17,501068.0
2019-09-17 15:00:00,80.16,80.21,79.98,80.1,114126.0
2019-09-18 07:00:00,80.21,80.63,79.91,80.43,538332.0
2019-09-18 11:00:00,80.43,80.53,80.0,80.18,504968.0
2019-09-18 15:00:00,80.17,80.43,80.16,80.42,92271.0
2019-09-19 07:00:00,80.51,81.06,80.22,80.84,506171.0
2019-09-19 11:00:00,80.84,81.46,80.84,81.46,596305.0
2019-09-19 15:00:00,81.45,81.46,81.31,81.32,115345.0
2019-09-20 07:00:00,81.5,82.87,81.17,82.6,2706906.0
2019-09-20 11:00:00,82.63,83.04,82.27,82.78,755872.0
2019-09-20 15:00:00,82.77,82.97,82.66,82.82,125085.0
2019-09-23 07:00:00,84.0,84.52,83.53,84.27,1172939.0
2019-09-23 11:00:00,84.29,84.33,83.6,83.72,586991.0
2019-09-23 15:00:00,83.73,83.97,83.73,83.88,132075.0
2019-09-24 07:00:00,84.0,85.33,83.78,85.01,1106792.0
2019-09-24 11:00:00,85.03,85.17,84.69,84.86,885280.0
2019-09-24 15:00:00,84.87,85.01,84.74,84.98,205786.0
2019-09-25 07:00:00,85.03,85.53,84.24,84.77,1017215.0
2019-09-25 11:00:00,84.79,85.16,84.48,85.06,783675.0
2019-09-25 15:00:00,85.05,85.17,84.94,84.97,132556.0
2019-09-26 07:00:00,84.5,85.32,84.47,85.08,578522.0
2019-09-26 11:00:00,85.06,85.9,84.91,85.68,787420.0
2019-09-26 15:00:00,85.66,85.7,85.36,85.51,124037.0
2019-09-27 07:00:00,85.01,85.22,84.23,84.28,719299.0
2019-09-27 11:00:00,84.27,84.71,83.99,84.71,662080.0
2019-09-27 15:00:00,84.7,84.75,84.58,84.71,116180.0
2019-09-30 07:00:00,84.71,84.84,83.96,84.36,686960.0
2019-09-30 11:00:00,84.38,85.18,84.23,84.91,642668.0
2019-09-30 15:00:00,84.91,84.93,84.76,84.9,113650.0
2019-10-01 07:00:00,85.25,85.36,84.46,84.72,413098.0
2019-10-01 11:00:00,84.72,84.99,83.74,83.77,535439.0
2019-10-01 15:00:00,83.76,83.9,83.57,83.65,125229.0
2019-10-02 07:00:00,82.96,83.25,82.31,82.41,768378.0
2019-10-02 11:00:00,82.41,82.51,80.58,80.83,1042307.0
2019-10-02 15:00:00,80.82,81.11,80.76,80.9,296863.0
2019-10-03 07:00:00,80.67,81.81,80.28,81.08,864358.0
2019-10-03 11:00:00,81.09,81.58,80.73,81.23,842605.0
2019-10-03 15:00:00,81.22,81.59,81.2,81.34,154492.0
2019-10-04 07:00:00,81.17,81.9,81.07,81.54,698014.0
2019-10-04 11:00:00,81.51,82.4,81.45,82.19,621748.0
2019-10-04 15:00:00,82.18,82.32,82.14,82.25,110023.0
2019-10-07 07:00:00,82.46,83.08,82.36,82.7,371889.0
2019-10-07 11:00:00,82.7,82.71,82.25,82.33,446608.0
2019-10-07 15:00:00,82.32,82.48,82.27,82.36,115598.0
2019-10-08 07:00:00,82.59,82.59,81.93,82.2,392433.0
2019-10-08 11:00:00,82.19,82.57,82.0,82.31,495868.0
2019-10-08 15:00:00,82.3,82.4,82.17,82.28,110746.0
2019-10-09 07:00:00,82.14,82.92,81.8,82.36,541067.0
2019-10-09 11:00:00,82.36,82.4,81.96,81.99,393311.0
2019-10-09 15:00:00,81.99,82.05,81.92,81.99,70281.0
2019-10-10 07:00:00,81.85,81.85,81.17,81.44,456158.0
2019-10-10 11:00:00,81.44,82.01,81.17,81.98,421574.0
2019-10-10 15:00:00,81.99,82.27,81.94,82.1,122729.0
2019-10-11 07:00:00,81.58,82.19,80.96,81.61,635291.0
2019-10-11 11:00:00,81.6,81.93,81.44,81.74,558974.0
2019-10-11 15:00:00,81.75,81.91,81.63,81.84,170475.0
2019-10-14 07:00:00,81.99,81.99,81.12,81.34,380147.0
2019-10-14 11:00:00,81.35,81.73,81.26,81.6,290740.0
2019-10-14 15:00:00,81.6,81.62,81.48,81.51,62006.0
2019-10-15 07:00:00,82.0,82.64,81.68,82.04,377623.0
2019-10-15 11:00:00,82.0,82.63,81.86,82.56,421110.0
2019-10-15 15:00:00,82.56,82.58,82.41,82.47,118214.0
2019-10-16 07:00:00,82.52,83.28,82.5,83.01,641036.0
2019-10-16 11:00:00,83.01,83.04,82.28,82.75,415995.0
2019-10-16 15:00:00,82.75,82.8,82.67,82.77,57800.0
2019-10-17 07:00:00,82.53,83.82,82.34,83.26,694060.0
2019-10-17 11:00:00,83.25,83.81,82.81,83.78,810740.0
2019-10-17 15:00:00,83.79,83.98,83.67,83.76,175369.0
2019-10-18 07:00:00,83.7,84.22,82.84,83.22,625280.0
2019-10-18 11:00:00,83.26,83.38,82.8,82.94,452047.0
2019-10-18 15:00:00,82.95,82.96,82.74,82.93,147928.0
2019-10-21 07:00:00,82.61,83.02,82.16,82.98,341736.0
2019-10-21 11:00:00,82.94,83.3,82.7,82.96,611988.0
2019-10-21 15:00:00,82.97,82.97,82.83,82.88,85324.0
2019-10-22 07:00:00,82.38,82.68,81.31,82.16,680734.0
2019-10-22 11:00:00,82.16,82.5,81.99,82.18,641647.0
2019-10-22 15:00:00,82.17,82.21,81.83,81.86,86677.0
2019-10-23 07:00:00,81.22,82.08,81.05,81.61,458099.0
2019-10-23 11:00:00,81.61,81.87,81.6,81.77,386545.0
2019-10-23 15:00:00,81.77,82.04,81.76,81.98,133281.0
2019-10-24 07:00:00,82.52,83.39,82.32,83.27,402923.0
2019-10-24 11:00:00,83.26,83.35,82.97,83.18,401987.0
2019-10-24 15:00:00,83.17,83.35,83.16,83.31,79437.0
2019-10-25 07:00:00,83.93,83.93,82.26,82.76,296956.0
2019-10-25 11:00:00,82.78,83.07,82.5,83.02,252208.0
2019-10-25 15:00:00,83.03,83.26,83.03,83.21,71288.0
2019-10-28 08:00:00,83.43,83.5,82.86,83.32,337682.0
2019-10-28 12:00:00,83.31,83.35,82.9,83.28,499321.0
2019-10-28 16:00:00,83.28,83.5,83.26,83.43,108719.0
2019-10-29 08:00:00,83.56,83.98,83.12,83.89,440118.0
2019-10-29 12:00:00,83.87,84.37,83.72,84.18,544771.0
2019-10-29 16:00:00,84.17,84.39,84.13,84.28,93229.0
2019-10-30 08:00:00,83.89,84.62,83.81,83.85,505034.0
2019-10-30 12:00:00,83.87,84.67,83.61,84.44,628589.0
2019-10-30 16:00:00,84.45,84.62,84.42,84.55,115871.0
2019-10-31 08:00:00,86.0,86.42,83.85,84.11,1106321.0
2019-10-31 12:00:00,84.11,84.46,82.98,83.2,881055.0
2019-10-31 16:00:00,83.2,83.33,82.86,83.08,131463.0
2019-11-01 08:00:00,82.35,82.55,81.46,81.82,472808.0
2019-11-01 12:00:00,81.82,82.35,81.13,81.63,576503.0
2019-11-01 16:00:00,81.62,81.73,81.33,81.37,73118.0
2019-11-04 08:00:00,81.85,82.84,81.58,82.4,523084.0
2019-11-04 12:00:00,82.43,82.71,82.16,82.55,542509.0
2019-11-04 16:00:00,82.54,82.64,82.47,82.53,127743.0
2019-11-05 08:00:00,82.4,82.76,81.66,82.57,471725.0
2019-11-05 12:00:00,82.56,83.07,82.27,82.53,646694.0
2019-11-05 16:00:00,82.54,82.66,82.49,82.63,110271.0
2019-11-06 08:00:00,82.62,83.08,82.31,82.66,374571.0
2019-11-06 12:00:00,82.68,83.2,82.6,83.13,409195.0
2019-11-06 16:00:00,83.14,83.23,82.99,83.14,99366.0
2019-11-07 08:00:00,83.47,83.47,82.32,82.61,419326.0
2019-11-07 12:00:00,82.61,82.88,82.48,82.51,441760.0
2019-11-07 16:00:00,82.5,82.56,82.34,82.36,100246.0
2019-11-08 08:00:00,82.07,82.83,81.7,82.78,581762.0
2019-11-08 12:00:00,82.78,83.24,82.65,82.9,361783.0
2019-11-08 16:00:00,82.9,82.93,82.69,82.69,49763.0
2019-11-11 08:00:00,83.16,83.47,82.96,83.26,279845.0
2019-11-11 12:00:00,83.25,83.35,82.75,83.23,321975.0
2019-11-11 16:00:00,83.23,83.4,83.23,83.25,65588.0
2019-11-12 08:00:00,83.0,83.37,82.6,83.19,328664.0
2019-11-12 12:00:00,83.2,83.7,82.76,83.63,462635.0
2019-11-12 16:00:00,83.63,83.83,83.61,83.8,127535.0
2019-11-13 08:00:00,83.91,84.13,83.05,83.3,438864.0
2019-11-13 12:00:00,83.29,83.57,83.24,83.26,305771.0
2019-11-13 16:00:00,83.26,83.26,82.99,83.18,80636.0
2019-11-14 08:00:00,83.0,83.38,82.51,82.84,245205.0
2019-11-14 12:00:00,82.86,82.86,81.64,81.67,301096.0
2019-11-14 16:00:00,81.68,81.93,81.67,81.92,80753.0
2019-11-15 08:00:00,81.72,82.95,81.65,82.15,684764.0
2019-11-15 12:00:00,82.17,82.97,81.97,82.89,563880.0
2019-11-15 16:00:00,82.89,82.93,82.79,82.92,103898.0
2019-11-18 08:00:00,83.06,83.67,82.73,83.67,435679.0
2019-11-18 12:00:00,83.66,83.99,83.46,83.99,505308.0
2019-11-18 16:00:00,83.99,84.21,83.98,84.21,167318.0
2019-11-19 08:00:00,84.31,84.98,84.11,84.42,541276.0
2019-11-19 12:00:00,84.4,84.4,83.05,83.05,561723.0
2019-11-19 16:00:00,83.05,83.21,82.96,83.09,124710.0
2019-11-20 08:00:00,82.97,83.58,82.66,83.38,372475.0
2019-11-20 12:00:00,83.39,83.48,83.2,83.2,285034.0
2019-11-20 16:00:00,83.2,83.24,83.01,83.15,83790.0
2019-11-21 08:00:00,82.26,84.36,81.8,84.21,1052789.0
2019-11-21 12:00:00,84.22,85.16,84.01,85.15,761189.0
2019-11-21 16:00:00,85.13,85.4,85.08,85.2,156471.0
2019-11-22 08:00:00,85.5,85.5,83.91,84.0,803363.0
2019-11-22 12:00:00,84.01,84.53,83.96,84.24,501163.0
2019-11-22 16:00:00,84.24,84.28,84.06,84.11,116000.0
