time,open,high,low,close,volume
2019-04-05,291.53,29133.0,290.13,28888.0,0.0
2019-04-08,28888.0,29418.0,28888.0,29338.0,0.0
2019-04-09,29338.0,29618.0,29273.0,29328.0,0.0
2019-04-10,29328.0,29428.0,29108.0,29212.0,0.0
2019-04-11,29212.0,29258.0,28838.0,28940.0,0.0
2019-04-12,28940.0,29563.0,28933.0,29413.0,0.0
2019-04-15,29413.0,29473.0,29162.0,29338.0,0.0
2019-04-16,29338.0,29478.0,29238.0,29335.0,0.0
2019-04-17,29335.0,29953.0,29278.0,29617.0,0.0
2019-04-18,29617.0,29643.0,29033.0,29190.0,0.0
2019-04-22,29190.0,29322.0,28928.0,29038.0,0.0
2019-04-23,29038.0,29133.0,28777.0,28945.0,0.0
2019-04-24,28945.0,29153.0,28868.0,29090.0,0.0
2019-04-25,29090.0,29178.0,28572.0,28605.0,0.0
2019-04-26,28605.0,28918.0,28588.0,28842.0,0.0
2019-04-29,28842.0,29015.0,28653.0,28888.0,0.0
2019-04-30,28888.0,29185.0,28760.0,29037.0,0.0
2019-05-01,29037.0,29103.0,27882.0,27930.0,0.0
2019-05-02,27930.0,28080.0,27745.0,27888.0,0.0
2019-05-03,27888.0,28365.0,27808.0,28245.0,0.0
2019-05-06,28245.0,28548.0,27478.0,28373.0,0.0
2019-05-07,28373.0,28483.0,27763.0,27878.0,0.0
2019-05-08,27878.0,28103.0,27538.0,27777.0,0.0
2019-05-09,27777.0,27850.0,27383.0,27653.0,0.0
2019-05-10,27653.0,27950.0,27555.0,27848.0,0.0
2019-05-13,27848.0,27848.0,27123.0,27162.0,0.0
2019-05-14,27162.0,27503.0,27032.0,27440.0,0.0
2019-05-15,27440.0,27737.0,27173.0,27203.0,0.0
2019-05-16,27203.0,27923.0,27118.0,27918.0,0.0
2019-05-17,27918.0,27963.0,26748.0,26787.0,0.0
2019-05-20,26787.0,28260.0,26573.0,28260.0,0.0
2019-05-21,28260.0,28398.0,25578.0,25593.0,0.0
2019-05-22,25593.0,29678.0,25153.0,29660.0,0.0
2019-05-23,29660.0,29763.0,21553.0,21583.0,0.0
2019-05-24,21583.0,37303.0,21570.0,37273.0,0.0
2019-05-27,37273.0,37458.0,37253.0,37438.0,0.0
2019-05-28,37438.0,80338.0,4075.0,80280.0,0.0
2019-05-29,80280.0,80298.0,79908.0,79953.0,0.0
2019-06-26,79953.0,79953.0,27127.0,27143.0,0.0
2019-06-27,27143.0,27298.0,27008.0,27293.0,0.0
2019-06-28,27293.0,27352.0,27108.0,27208.0,0.0
2019-07-01,27208.0,27640.0,26843.0,26928.0,0.0
2019-07-02,26928.0,27033.0,26622.0,26730.0,0.0
2019-07-03,26730.0,26913.0,26455.0,26895.0,0.0
2019-07-04,26895.0,26918.0,26738.0,26832.0,0.0
2019-07-05,26832.0,26873.0,26508.0,26728.0,0.0
2019-07-08,26728.0,26958.0,26618.0,26655.0,0.0
2019-07-09,26655.0,26668.0,26203.0,26350.0,0.0
2019-07-10,26350.0,27033.0,26323.0,26945.0,0.0
