time,open,high,low,close,volume
2006-05-16 22:00:00,6.288,6.419,6.1,6.129,24538.0
2006-05-17 22:00:00,6.14,6.14,5.85,5.997,26211.0
2006-05-18 22:00:00,6.001,6.09,5.88,5.962,20936.0
2006-05-21 22:00:00,6.015,6.36,5.92,6.276,44692.0
2006-05-22 22:00:00,6.28,6.44,6.12,6.258,46919.0
2006-05-23 22:00:00,6.28,6.296,5.93,5.964,29489.0
2006-05-24 22:00:00,5.945,6.08,5.897,5.975,38862.0
2006-05-25 22:00:00,6.25,6.25,6.05,6.154,20248.0
2006-05-29 22:00:00,6.25,6.36,6.1,6.123,21358.0
2006-05-30 22:00:00,6.12,6.46,6.02,6.384,34459.0
2006-05-31 22:00:00,6.42,6.74,6.3,6.448,41612.0
2006-06-01 22:00:00,6.462,6.69,6.37,6.623,20160.0
2006-06-04 22:00:00,6.75,6.82,6.4,6.463,24019.0
2006-06-05 22:00:00,6.45,6.598,6.29,6.385,27869.0
2006-06-06 22:00:00,6.38,6.4,5.94,5.974,57064.0
2006-06-07 22:00:00,5.98,6.2,5.954,6.191,33782.0
2006-06-08 22:00:00,6.201,6.4,6.157,6.172,31471.0
2006-06-11 22:00:00,6.209,6.27,6.11,6.224,27036.0
2006-06-12 22:00:00,6.23,6.315,6.13,6.163,32282.0
2006-06-13 22:00:00,6.178,6.67,6.121,6.59,48727.0
2006-06-14 22:00:00,6.65,7.28,6.54,7.207,43739.0
2006-06-15 22:00:00,7.2,7.33,7.03,7.185,30552.0
2006-06-18 22:00:00,7.03,7.1,6.79,6.893,21510.0
2006-06-19 22:00:00,6.88,6.88,6.47,6.502,27690.0
2006-06-20 22:00:00,6.51,6.68,6.495,6.588,31048.0
2006-06-21 22:00:00,6.6,6.634,6.36,6.439,28374.0
2006-06-22 22:00:00,6.42,6.44,6.16,6.226,17598.0
2006-06-25 22:00:00,6.209,6.21,5.96,5.969,26311.0
2006-06-26 22:00:00,5.99,6.12,5.96,6.107,36092.0
2006-06-27 22:00:00,6.3,6.37,6.1,6.16,29432.0
2006-06-28 22:00:00,6.15,6.29,6.04,6.135,19893.0
2006-06-29 22:00:00,6.16,6.2,6.055,6.085,90.0
2006-07-04 22:00:00,6.09,6.1,5.75,5.765,30592.0
2006-07-05 22:00:00,5.76,5.83,5.592,5.664,21328.0
2006-07-06 22:00:00,5.68,5.72,5.47,5.523,18593.0
2006-07-09 22:00:00,5.54,5.71,5.39,5.608,19805.0
2006-07-10 22:00:00,5.62,5.85,5.55,5.633,31551.0
2006-07-11 22:00:00,5.639,5.83,5.595,5.782,35596.0
2006-07-12 22:00:00,5.805,6.18,5.72,6.129,36822.0
2006-07-13 22:00:00,6.15,6.45,6.135,6.347,39106.0
2006-07-16 22:00:00,6.2,6.249,5.73,5.783,34651.0
2006-07-17 22:00:00,5.779,5.91,5.52,5.555,37614.0
2006-07-18 22:00:00,5.595,5.93,5.585,5.862,25483.0
2006-07-19 22:00:00,5.88,6.23,5.827,6.091,41534.0
2006-07-20 22:00:00,6.08,6.15,5.85,6.139,16682.0
2006-07-23 22:00:00,6.16,6.63,6.15,6.605,34137.0
2006-07-24 22:00:00,6.625,6.84,6.35,6.409,33243.0
