time,open,high,low,close,volume
2025-05-20 15:00:00,3.35,3.41,3.327,3.387,20607.0
2025-05-20 16:00:00,3.387,3.407,3.38,3.398,8878.0
2025-05-20 17:00:00,3.399,3.431,3.382,3.424,10187.0
2025-05-20 18:00:00,3.425,3.453,3.389,3.389,20732.0
2025-05-20 19:00:00,3.39,3.411,3.384,3.409,3157.0
2025-05-20 20:00:00,3.408,3.423,3.395,3.42,1611.0
2025-05-20 22:00:00,3.415,3.441,3.41,3.427,550.0
2025-05-20 23:00:00,3.429,3.433,3.396,3.397,565.0
2025-05-21 00:00:00,3.398,3.407,3.392,3.397,407.0
2025-05-21 01:00:00,3.399,3.409,3.39,3.395,275.0
2025-05-21 02:00:00,3.394,3.4,3.388,3.391,197.0
2025-05-21 03:00:00,3.393,3.418,3.383,3.402,489.0
2025-05-21 04:00:00,3.401,3.402,3.389,3.393,193.0
2025-05-21 05:00:00,3.394,3.398,3.346,3.352,1153.0
2025-05-21 06:00:00,3.352,3.396,3.352,3.391,1197.0
2025-05-21 07:00:00,3.39,3.437,3.389,3.432,1809.0
2025-05-21 08:00:00,3.433,3.437,3.414,3.416,652.0
2025-05-21 09:00:00,3.418,3.426,3.376,3.399,1266.0
2025-05-21 10:00:00,3.4,3.445,3.4,3.435,1713.0
2025-05-21 11:00:00,3.433,3.513,3.412,3.481,6442.0
2025-05-21 12:00:00,3.481,3.51,3.371,3.408,12021.0
2025-05-21 13:00:00,3.409,3.438,3.358,3.367,12456.0
2025-05-21 14:00:00,3.368,3.425,3.365,3.38,7840.0
2025-05-21 15:00:00,3.38,3.402,3.34,3.383,7104.0
2025-05-21 16:00:00,3.381,3.409,3.363,3.401,4126.0
2025-05-21 17:00:00,3.4,3.403,3.36,3.39,4052.0
2025-05-21 18:00:00,3.39,3.412,3.344,3.349,8017.0
2025-05-21 19:00:00,3.349,3.366,3.336,3.36,1888.0
2025-05-21 20:00:00,3.359,3.37,3.351,3.357,992.0
