time,open,high,low,close,volume
2016-03-31 13:30:00,95.15,96.2,95.02,95.39,200754.0
2016-03-31 17:30:00,95.38,95.63,95.16,95.4,153442.0
2016-04-01 13:30:00,93.62,94.69,93.34,94.41,199770.0
2016-04-01 17:30:00,94.37,94.78,94.25,94.3,151604.0
2016-04-04 13:30:00,94.44,94.45,93.52,93.67,228593.0
2016-04-04 17:30:00,93.67,93.73,93.06,93.5,193500.0
2016-04-05 13:30:00,93.03,93.3,92.5,92.79,185213.0
2016-04-05 17:30:00,92.83,93.34,92.43,92.66,204445.0
2016-04-06 13:30:00,93.2,94.48,92.84,94.39,210603.0
2016-04-06 17:30:00,94.37,94.99,94.01,94.83,196513.0
2016-04-07 13:30:00,94.37,95.02,94.16,94.92,254751.0
2016-04-07 17:30:00,94.91,94.92,94.16,94.81,213473.0
2016-04-08 13:30:00,96.29,96.87,95.84,96.13,243711.0
2016-04-08 17:30:00,96.06,96.35,95.78,96.32,122165.0
2016-04-11 13:30:00,96.86,97.27,95.39,95.9,197931.0
2016-04-11 17:30:00,95.89,96.03,95.16,95.24,120445.0
2016-04-12 13:30:00,95.76,97.93,95.45,97.38,320284.0
2016-04-12 17:30:00,97.35,97.67,97.11,97.51,225110.0
2016-04-13 13:30:00,97.8,97.85,97.04,97.68,235734.0
2016-04-13 17:30:00,97.69,97.9,97.4,97.59,113352.0
2016-04-14 13:30:00,97.91,98.27,97.37,97.69,169946.0
2016-04-14 17:30:00,97.7,98.03,97.54,97.96,113882.0
2016-04-15 13:30:00,97.63,97.77,96.99,97.18,146887.0
2016-04-15 17:30:00,97.16,97.32,96.98,97.18,118920.0
2016-04-18 13:30:00,95.76,98.55,95.59,98.52,214516.0
2016-04-18 17:30:00,98.53,98.75,98.34,98.73,142536.0
2016-04-19 13:30:00,98.82,100.47,98.16,99.99,274389.0
2016-04-19 17:30:00,100.0,100.52,99.94,100.51,132070.0
2016-04-20 13:30:00,99.84,102.37,99.84,102.33,256772.0
2016-04-20 17:30:00,102.33,102.53,101.44,101.73,187454.0
2016-04-21 13:30:00,101.58,102.79,101.12,102.08,275035.0
2016-04-21 17:30:00,102.07,102.11,101.2,101.42,186707.0
2016-04-22 13:30:00,101.84,102.5,101.51,101.62,192972.0
2016-04-22 17:30:00,101.68,102.36,101.66,102.02,108550.0
2016-04-25 13:30:00,101.5,101.63,100.84,101.09,164122.0
2016-04-25 17:30:00,101.09,101.76,100.85,101.52,101107.0
2016-04-26 13:30:00,102.1,102.96,101.71,102.53,187006.0
2016-04-26 17:30:00,102.53,102.6,102.06,102.26,124890.0
2016-04-27 13:30:00,102.86,103.59,102.39,103.1,379998.0
2016-04-27 17:30:00,103.12,103.9,102.76,103.85,218348.0
2016-04-28 13:30:00,103.07,104.25,102.96,103.66,160989.0
2016-04-28 17:30:00,103.7,103.84,102.06,102.5,172664.0
2016-04-29 13:30:00,101.13,102.39,100.63,101.46,302016.0
2016-04-29 17:30:00,101.46,102.58,101.4,102.28,135042.0
2016-05-02 13:30:00,102.15,103.85,102.04,103.19,244084.0
2016-05-02 17:30:00,103.18,103.49,102.99,103.32,112585.0
2016-05-03 13:30:00,102.27,102.28,101.05,101.67,171905.0
2016-05-03 17:30:00,101.66,101.78,101.12,101.37,117546.0
2016-05-04 13:30:00,101.06,102.28,100.46,100.75,186549.0
2016-05-04 17:30:00,100.785,100.94,100.39,100.6,89945.0
2016-05-05 13:30:00,101.85,102.6,100.865,100.88,252158.0
2016-05-05 17:30:00,100.9,101.54,100.9,101.42,90149.0
2016-05-06 13:30:00,101.07,102.68,100.955,102.15,130347.0
2016-05-06 17:30:00,102.16,102.4,101.71,101.87,105688.0
2016-05-09 13:30:00,101.58,101.65,99.09,100.33,282108.0
2016-05-09 17:30:00,100.3,100.61,99.95,100.355,151991.0
2016-05-10 13:30:00,100.89,101.28,100.51,100.92,142958.0
2016-05-10 17:30:00,100.9,101.28,100.89,101.24,89986.0
2016-05-11 13:30:00,101.2,101.73,100.18,101.565,221942.0
2016-05-11 17:30:00,101.63,101.68,101.06,101.18,120071.0
2016-05-12 13:30:00,102.27,102.32,101.09,101.92,187414.0
2016-05-12 17:30:00,101.95,102.4,101.76,102.14,119670.0
2016-05-13 13:30:00,101.68,102.04,100.84,101.07,176597.0
2016-05-13 17:30:00,101.09,101.16,100.36,100.75,122609.0
2016-05-16 13:30:00,101.85,102.305,101.4,102.27,143434.0
2016-05-16 17:30:00,102.27,102.58,102.07,102.3,108816.0
2016-05-17 13:30:00,101.22,102.16,100.86,101.22,210116.0
2016-05-17 17:30:00,101.21,101.29,100.34,100.73,163340.0
2016-05-18 13:30:00,100.805,101.27,100.13,101.19,299306.0
2016-05-18 17:30:00,101.18,101.21,99.46,100.06,229128.0
2016-05-19 13:30:00,99.12,99.93,98.53,99.77,181189.0
2016-05-19 17:30:00,99.79,100.08,99.56,99.84,108957.0
2016-05-20 13:30:00,100.3,100.39,99.5,100.12,142674.0
2016-05-20 17:30:00,100.09,100.11,99.63,99.785,63182.0
