time,open,high,low,close,volume
2005-10-17,1058.0,1066.0,1048.0,1056.0,53506000.0
2005-10-18,1056.0,1076.0,1052.0,1060.0,57517000.0
2005-10-19,1042.0,1050.0,1026.0,1042.0,43440500.0
2005-10-20,1028.0,1038.0,1018.0,1026.0,45900000.0
2005-10-21,998.0,1006.0,990.0,1004.0,60775000.0
2005-10-24,1002.0,1024.0,996.0,1008.0,42794000.0
2005-10-25,1032.0,1038.0,1020.0,1022.0,34638000.0
2005-10-26,1028.0,1048.0,1026.0,1042.0,33298000.0
2005-10-27,1050.0,1060.0,1046.0,1050.0,30131500.0
2005-10-28,1038.0,1048.0,1032.0,1040.0,31790000.0
2005-10-31,1062.0,1070.0,1052.0,1062.0,37957000.0
2005-11-01,1080.0,1082.0,1074.0,1082.0,42052500.0
2005-11-02,1084.0,1084.0,1062.0,1070.0,34963500.0
2005-11-04,1072.0,1090.0,1070.0,1080.0,47010500.0
2005-11-07,1082.0,1082.0,1066.0,1070.0,36121000.0
2005-11-08,1072.0,1074.0,1066.0,1070.0,27738500.0
2005-11-09,1066.0,1070.0,1056.0,1066.0,26035000.0
2005-11-10,1068.0,1072.0,1062.0,1068.0,24136500.0
2005-11-11,1068.0,1072.0,1066.0,1066.0,27952500.0
2005-11-14,1076.0,1082.0,1062.0,1064.0,35501500.0
2005-11-15,1066.0,1072.0,1064.0,1070.0,33016500.0
2005-11-16,1072.0,1106.0,1070.0,1100.0,54485000.0
2005-11-17,1118.0,1132.0,1096.0,1128.0,59478000.0
2005-11-18,1180.0,1192.0,1140.0,1178.0,78573000.0
2005-11-21,1198.0,1216.0,1170.0,1174.0,89049500.0
2005-11-22,1180.0,1194.0,1172.0,1186.0,43195500.0
2005-11-24,1190.0,1192.0,1154.0,1164.0,45310500.0
2005-11-25,1162.0,1166.0,1154.0,1166.0,35242000.0
2005-11-28,1190.0,1200.0,1178.0,1198.0,55040500.0
2005-11-29,1184.0,1192.0,1178.0,1186.0,34266000.0
2005-11-30,1182.0,1192.0,1158.0,1158.0,48096000.0
2005-12-01,1162.0,1176.0,1156.0,1170.0,50907500.0
2005-12-02,1182.0,1190.0,1174.0,1182.0,42920500.0
2005-12-05,1184.0,1184.0,1172.0,1182.0,36224000.0
2005-12-06,1168.0,1176.0,1160.0,1168.0,39761000.0
2005-12-07,1170.0,1176.0,1166.0,1168.0,40510000.0
2005-12-08,1166.0,1172.0,1146.0,1158.0,45675000.0
2005-12-09,1162.0,1170.0,1150.0,1160.0,71433000.0
2005-12-12,1168.0,1172.0,1160.0,1164.0,39045000.0
2005-12-13,1164.0,1190.0,1164.0,1180.0,54643500.0
2005-12-14,1172.0,1192.0,1154.0,1160.0,60000500.0
2005-12-15,1138.0,1144.0,1120.0,1134.0,59937000.0
2005-12-16,1132.0,1150.0,1120.0,1138.0,57625500.0
2005-12-19,1148.0,1154.0,1136.0,1148.0,29347500.0
2005-12-20,1156.0,1160.0,1142.0,1156.0,28303000.0
2005-12-21,1176.0,1182.0,1168.0,1176.0,42908000.0
2005-12-22,1194.0,1200.0,1178.0,1200.0,67649500.0
